video_path,model_response,label
Date01_Sub01_suitcase_0_color_04.mp4,"A man in a black shirt and gray pants is seen walking towards the camera. He stops to pick up a suitcase, then proceeds to roll it along the ground while walking away from the camera.",
Date01_Sub01_suitcase_0_color_01.mp4,"The video shows a man dressed in black picking up a suitcase from the ground. He is seen bending over and then lifting the suitcase up. The video seems to be taken in an airport, as there are other people walking around in the background.",
Date01_Sub01_suitcase_lift_0_color_05.mp4,"The video shows a man wearing a mask and black clothes, pulling his suitcase. He bends over while pulling the luggage.",
Date01_Sub01_suitcase_0_color_02.mp4,A man wearing a black mask is pulling a suitcase behind him. He stops and bends over to pick up the suitcase.,
Date01_Sub01_suitcase_lift_0_color_03.mp4,A man is seen bending down and picking up a suitcase from the ground. He then stands up and walks away with the suitcase.,
Date01_Sub01_suitcase_lift_0_color_06.mp4,A man in a black shirt and face mask walks down the hall carrying a suitcase. He bends over to put on his shoes.,
Date01_Sub01_suitcase_lift_0_color_02.mp4,"The video shows a man wearing a face mask, walking and jumping rope inside a building. He is wearing a black shirt, gray pants, and white shoes. The man is also wearing gloves on his hands while jumping the rope.",
Date01_Sub01_suitcase_lift_0_color_04.mp4,"The video shows a man wearing a black shirt and gray pants standing in a room. He bends over to pick up a pair of gloves from the floor, then puts them on before his hands.",
Date01_Sub01_suitcase_0_color_05.mp4,"A man wearing a black shirt, gray pants, and a face mask is standing in an airport. He begins to dance, moving his arms and legs rhythmically while keeping the suitcase at his side.",
Date01_Sub01_suitcase_lift_0_color_01.mp4,A man in a black shirt and gray pants bends over to pick up a suitcase. He then stands up while holding the suitcase.,
Date01_Sub01_suitcase_0_color_03.mp4,"The video shows a man wearing a black shirt and gray pants, pulling a black suitcase across the floor. He bends over to pick up the suitcase and continues walking.",
Date01_Sub01_keyboard_move_0_5.mp4,A man wearing a face mask stands in a gym and performs an exercise using a vacuum cleaner.,
Date01_Sub01_keyboard_typing_0_1.mp4,"A man is standing at a table, playing the keyboard while wearing a face mask.",
Date01_Sub01_keyboard_move_0_2.mp4,"The video shows a man wearing a mask standing in an enclosed room. He is holding a sander and sanding down an object on a table. The man seems to be focused on his work, and the sound of the sander can be heard in the background. The room appears to be empty except for some equipment in the background.",
Date01_Sub01_keyboard_typing_0_2.mp4,A man wearing a black t-shirt and gray pants is sitting in front of a music stand. He is playing the piano with sheet music in front of him. The man is wearing a face mask.,
Date01_Sub01_keyboard_move_0_3.mp4,A man wearing a face mask and gloves walks towards a table. He is wearing a black shirt and grey pants.,
Date01_Sub01_keyboard_move_0_4.mp4,"A man wearing a face mask is seen walking towards a table while holding a cup in his hand. He then proceeds to place the cup on the table, suggesting that he may be preparing to drink from it or set it down for some other reason. The setting appears to be indoors, possibly in an office or a similar environment. The man's attire and the presence of the cup indicate that he may be taking a break or enjoying a beverage. Overall, the video captures a simple moment of someone taking a sip of their drink and placing it on a table.",
Date01_Sub01_keyboard_typing_0_3.mp4,"A man wearing a face mask is sitting at a table, typing on his laptop. Suddenly, he jumps up and runs away, leaving the laptop behind.",
Date01_Sub01_keyboard_move_0_1.mp4,A man is standing in a gym and throws a ball to the wall. He catches it after it bounces back.,
Date01_Sub01_tablesmall_lift_0_color_08.mp4,A man is walking in a hallway while holding a large box. He is trying to fit the box through a door but it is too big. He then tries to fit it through a window but it is also too big. He eventually gives up and carries the box away.,
Date01_Sub01_tablesmall_move_0_color_02.mp4,"A man wearing a black shirt and a face mask is standing in a room, holding a small table. He bends down and places the table on the floor.",
Date01_Sub01_tablesquare_sit_0_color_02.mp4,A man is seen kneeling on a bench and then stands up.,
Date01_Sub01_tablesmall_move_0_color_01.mp4,A man is walking through a hallway and throws a dart at a target.,
Date01_Sub01_tablesquare_hand_0_color_01.mp4,"A man is in a gymnasium attempting to flip a table. He kicks the table and tries to make it flip over, but it doesn't work.",
Date01_Sub01_tablesquare_hand_0_color_03.mp4,"A man is pushing a table across the floor. He is wearing a black shirt and gray pants. The man pushes the table forward quickly, then turns around and pushes it back.",
Date01_Sub01_tablesmall_lift_0_color_05.mp4,A man is dancing and spinning a chair around in an empty room.,
Date01_Sub01_tablesmall_lean_0_color_02.mp4,"The video shows a man wearing a black shirt and a face mask, standing on one leg while balancing with his arms outstretched. He maintains his balance for a few seconds before falling to the ground.",
Date01_Sub01_tablesmall_move_0_color_03.mp4,"A man is seen walking forward and then stopping abruptly. He proceeds to spin around rapidly, showcasing his agility and control.",
Date01_Sub01_tablesquare_hand_0_color_08.mp4,"A man is standing in a room with his hands on a table. He bends over the table, and then he stands back up.",
Date01_Sub01_tablesquare_sit_0_color_04.mp4,A man is sitting on a bench and doing sit-ups. He is wearing a black shirt and gray pants. The man is in a gym and there are other people around him.,
Date01_Sub01_tablesquare_lift_0_color_01.mp4,A man is doing a push-up on a table in an indoor area. He then stands up and walks away.,
Date01_Sub01_tablesquare_sit_0_color_03.mp4,A man is sitting on a bench and doing leg exercises. He is wearing a black shirt and gray pants. The bench is white and there are two white columns behind him. There is a fire extinguisher to the right of the frame.,
Date01_Sub01_tablesmall_lift_0_color_07.mp4,"A man in a black shirt is standing next to a piece of exercise equipment. He places his hands on the bar, bends his knees, and lowers himself down towards the ground.",
Date01_Sub01_tablesmall_lean_0_color_01.mp4,"A man is standing in a gym, bending over to pick up a weight. He then proceeds to lift the weight up and down in front of him.",
Date01_Sub01_tablesmall_lift_0_color_01.mp4,"A man wearing a mask is standing in a gym, holding onto an exercise machine. He proceeds to do several reps of pulling down on the machine.",
Date01_Sub01_tablesmall_lift_0_color_04.mp4,"A man wearing glasses and a black shirt stands in a hallway. He holds a disc in his hand, then throws it across the room.",
Date01_Sub01_tablesmall_lift_0_color_06.mp4,"A man walks into a building, carrying an object that he places on the ground. He then bends over and touches the object.",
Date01_Sub01_tablesquare_hand_0_color_07.mp4,"A man in a black shirt is bending over a small white table. He is trying to lift the table, but it seems heavy. The table is on a carpeted floor, and there is a metal railing nearby.",
Date01_Sub01_tablesmall_move_0_color_05.mp4,A man wearing a face mask is seen standing in front of a podium. He leans down and blows on a wooden board that is resting on the podium. The man then stands up straight and walks away from the podium.,
Date01_Sub01_tablesquare_hand_0_color_04.mp4,A man in a black shirt and black pants is walking inside a building. He is carrying a white folding table.,
Date01_Sub01_tablesmall_move_0_color_04.mp4,"A man is demonstrating a foldable table in an open area. He places the table on the ground, adjusts its height, and then walks away.",
Date01_Sub01_tablesquare_lift_0_color_05.mp4,"A man in a black shirt is standing next to a small table. He bends down and puts his hands on the table, then quickly flips himself over it.",
Date01_Sub01_tablesquare_hand_0_color_02.mp4,A man in a black shirt and mask is walking around a gym. He picks up a chair and carries it across the room.,
Date01_Sub01_tablesmall_lift_0_color_09.mp4,A man walks towards a table and bends over to pick something up.,
Date01_Sub01_tablesmall_lift_0_color_02.mp4,"A man is standing in a room, holding a long object. He turns around and walks away.",
Date01_Sub01_tablesquare_sit_0_color_01.mp4,A man wearing a black shirt walks up to a small white table. He then sits down on the edge of the table and turns around.,
Date01_Sub01_tablesquare_hand_0_color_05.mp4,"A man is standing in a gym, holding onto a square table. He lifts the table and throws it to the ground.",
Date01_Sub01_tablesmall_lift_0_color_03.mp4,"A man is standing in a room, holding a barbell. He bends down to lift it up, then stands up straight with the barbell.",
Date01_Sub01_tablesquare_lift_0_color_03.mp4,"The video shows a man standing in front of a table, wearing a black shirt. He pushes the table towards himself, causing it to fall over and collapse.",
Date01_Sub01_tablesquare_hand_0_color_06.mp4,"A man wearing a black shirt and gray pants bends over a small white table. He picks up a red object from the table, then stands up straight.",
Date01_Sub01_tablesquare_lift_0_color_02.mp4,The video shows a man carrying a table in his hands. He then sets the table down on the floor.,
Date01_Sub01_tablesquare_lift_0_color_04.mp4,A man is seen standing on a box and jumps off it.,
Date01_Sub01_yogaball_0_color_02.mp4,"The video features a man dressed in black who is standing in front of a large pink ball. He bends down, places his hands on the ball, and lifts himself up with it. The man's movements are smooth and controlled as he uses his core strength and balance to maintain his position on top of the ball. The video showcases the man's impressive physical strength and control over his body.",
Date01_Sub01_yogaball_play_0_color_01.mp4,"The video shows a man in a black shirt and grey pants standing in front of a large pink ball. He is bending down, using his hands to push the ball forward. The man appears to be exercising or playing with the ball in an open area with a white floor.",
Date01_Sub01_yogaball_0_color_01.mp4,"The video begins with a man wearing a black shirt and gray pants standing in front of a large pink ball. He bends down and places his hands on the ball, then lifts it up using his strength and balance. The camera captures the moment as he successfully lifts the ball, showcasing his physical strength and control. The scene is set in a gym or fitness center, with other people working out in the background. The man's focused expression and determined movements are evident throughout the video, highlighting his dedication to fitness and exercise.",
Date01_Sub01_yogamat_hand_0_color_02.mp4,A man in a black shirt and gray pants is walking across a gym floor. He is holding a large red cylinder and throws it on the ground.,
