video_path,model_response,label
Date01_Sub01_suitcase_0_color_04.mp4,"A man wearing a black shirt is seen bending over to pick up his luggage. He then stands up and walks away from the camera, pulling his suitcase behind him.",
Date01_Sub01_suitcase_0_color_01.mp4,A man wearing a black shirt is pulling a suitcase on wheels. He bends down to pick up the suitcase and then stands back up while holding it.,
Date01_Sub01_suitcase_lift_0_color_05.mp4,"A man wearing a mask is seen pulling his suitcase along the floor. He then bends over and picks up the suitcase, lifting it off the ground.",
Date01_Sub01_suitcase_0_color_02.mp4,A man wearing a black mask is pulling his suitcase through an airport. He is walking through the hallway of.,
Date01_Sub01_suitcase_lift_0_color_03.mp4,"A man in a black shirt is bending over to pick up his luggage. He is at an airport, and there are two people watching him.",
Date01_Sub01_suitcase_lift_0_color_06.mp4,A man wearing a face mask is seen walking in a corridor carrying a suitcase. He then proceeds to drop the suitcase on the ground.,
Date01_Sub01_suitcase_lift_0_color_02.mp4,"A man wearing a mask is walking in a gym. He is wearing a black t-shirt, gray pants, and white shoes. He walks towards the camera and then turns around to walk away.",
Date01_Sub01_suitcase_lift_0_color_04.mp4,"A man wearing a black shirt and a face mask is walking down a hallway. He bends over to pick up an object from the floor, then stands back up.",
Date01_Sub01_suitcase_0_color_05.mp4,A man wearing a mask is walking with a suitcase in his hand. He then takes off the suitcase and starts dancing.,
Date01_Sub01_suitcase_lift_0_color_01.mp4,A man wearing a baseball cap is bending over to pick up his suitcase. He then stands up and walks away.,
Date01_Sub01_suitcase_0_color_03.mp4,"The video shows a man wearing a black shirt and gray pants, bending down to pick up a suitcase. He lifts the suitcase up and begins walking away.",
Date01_Sub01_keyboard_move_0_5.mp4,"The video begins with a man standing next to a table. He is wearing a mask and gloves, suggesting that he is taking precautions against the spread of germs or viruses. The man then proceeds to use a disinfectant wipe to clean the table, indicating his intention to sanitize the surface. He wipes the table thoroughly, ensuring that all surfaces are cleaned. Finally, he throws the used wipe into a bin, demonstrating proper waste disposal. Overall, the video shows the man taking measures to maintain cleanliness and hygiene by sanitizing a table surface.",
Date01_Sub01_keyboard_typing_0_1.mp4,"The video shows a man sitting at a table, playing the piano. He is wearing a black shirt and blue pants. The room is large with white walls and has a glass railing on one side. There are some plants in the background. The man is playing the piano with his hands moving quickly over the keys.",
Date01_Sub01_keyboard_move_0_2.mp4,"The video begins with a man wearing a face mask, standing in front of a table. He is holding an object and appears to be working on it. As he continues to work, he moves his hands around the object, possibly using a tool or adjusting its position. The camera focuses on his hands and the object, highlighting the precision and care taken in his work. The man's facial expression remains focused throughout the video, indicating his concentration on the task at hand.",
Date01_Sub01_keyboard_typing_0_2.mp4,"The video begins with a man wearing a face mask, who is standing behind a podium. He is seen speaking into the microphone on the podium. As he speaks, he moves his hands up and down while continuing to talk. The man appears to be giving a speech or presentation of some sort. The background behind him shows't very clear, but it appears to be an indoor setting. Overall, the video seems to be focused on the man's speech and his delivery of it.",
Date01_Sub01_keyboard_move_0_3.mp4,"The video starts with a man wearing a mask walking towards the camera. He is holding a pair of shoes in his hand and drops them on the floor. The man is dressed in black and is wearing gloves. The camera follows him as he walks towards the shoes, and then pans out to show the surrounding area. The man appears to be in a hurry as he walks quickly towards the shoes. He bends down and picks up the shoes, then continues walking towards the camera. The video ends with the man walking away from the camera.",
Date01_Sub01_keyboard_move_0_4.mp4,"A man wearing a face mask is standing in a hallway, drinking from a water bottle. He then places the bottle on a table and begins to dance.",
Date01_Sub01_keyboard_typing_0_3.mp4,"A man wearing a mask is standing in an open area, moving his arms up and down.",
